state,jobs_count
"Alabama, United States",3131.0
"Alaska, United States",337.0
"Arizona, United States",5216.0
"Arkansas, United States",1107.0
"California, United States",48445.0
"Colorado, United States",8209.0
"Connecticut, United States",2132.0
"Delaware, United States",1232.0
"Florida, United States",11703.0
"Georgia, United States",9548.0
"Hawaii, United States",636.0
"Idaho, United States",966.0
"Illinois, United States",11722.0
"Indiana, United States",3231.0
"Iowa, United States",1141.0
"Kansas, United States",1124.0
"Kentucky, United States",1142.0
"Louisiana, United States",1077.0
"Maine, United States",727.0
"Maryland, United States",12460.0
"Massachusetts, United States",10518.0
"Michigan, United States",6290.0
"Minnesota, United States",4194.0
"Mississippi, United States",684.0
"Missouri, United States",4221.0
"Montana, United States",671.0
"Nebraska, United States",1061.0
"Nevada, United States",1051.0
"New Hampshire, United States",1088.0
"New Jersey, United States",10339.0
"New Mexico, United States",1053.0
"New York, United States",15714.0
"North Carolina, United States",10510.0
"North Dakota, United States",495.0
"Ohio, United States",7489.0
"Oklahoma, United States",1098.0
"Oregon, United States",2103.0
"Pennsylvania, United States",8348.0
"Rhode Island, United States",1064.0
"South Carolina, United States",1131.0
"South Dakota, United States",492.0
"Tennessee, United States",3214.0
"Texas, United States",29418.0
"Utah, United States",3107.0
"Vermont, United States",466.0
"Virginia, United States",20396.0
"Washington, United States",26201.0
"West Virginia, United States",736.0
"Wisconsin, United States",3161.0
"Wyoming, United States",399.0
